"","b0","b1","b2","prev","ew","r2","auc","f1"
"784",0.20422103558667,0.015595693141222,0.3,0.5285,0.00560651047492168,0.00124014810969242,0.522647540344586,0.00893854748603352
"785",0.653607155894861,0.986127472948283,0.3,0.6295,0.183632328446302,0.181144197277954,0.749750835940028,0.515806988352745
"786",0.797866168431938,0.129694446455687,0.3,0.693,0.00414833191861053,0.00455578686348779,0.540881310607743,NA
"787",0.253011894179508,0.0642343156505376,0.3,0.563,0.000860444905840082,0.000243453344899169,0.51113346031746,NA
"788",0.582687493879348,0.4766840422526,0.3,0.6185,0.037542273310272,0.0246821153629615,0.598981720580566,0.311355311355311
"789",0.840527924476191,0.152875607833266,0.3,0.6855,0.00386202024344841,0.00508994835260079,0.552640415808915,NA
"790",0.270111204357818,0.186585694784299,0.3,0.552,0.010274345473898,0.00295002082250728,0.536559999024009,0.259567387687188
"791",0.811818250920624,0.0741810519248247,0.3,0.698,-0.00166087467392589,-0.00167713785733525,0.517459110546851,NA
"792",0.929413162870333,0.135006735799834,0.3,0.705,0.00393451051982813,0.00546891477782285,0.559489346310259,NA
"793",0.754795163171366,0.832807780243456,0.3,0.659,0.134083051363778,0.141379826121932,0.723903147774609,0.429126213592233
"794",0.805759959854186,0.241863215574995,0.3,0.679,0.00486889246061544,0.00500349423827717,0.548319767919716,NA
"795",0.403643395751715,0.792845738353208,0.3,0.586,0.17472316904446,0.112115658557651,0.693518426788191,0.507163323782235
"796",0.169700678205118,0.00340152578428388,0.3,0.5325,0.00164397390417929,0.000266887672091598,0.513116762419736,0.00854700854700855
"797",0.987877575680614,0.348513554781675,0.3,0.7085,0.0254287891017887,0.0337615642624316,0.613297877486263,0.042833607907743
"798",0.780596054624766,0.343093154020607,0.3,0.6765,0.0165024657462471,0.0193297980777426,0.587248072584843,NA
"799",0.96719882520847,0.0194316415581852,0.3,0.717,0.000245383461218545,0.000352684142742254,0.528162765679355,NA
"800",0.0140101169236004,0.760069288080558,0.3,0.5095,0.32390759218245,0.1136670640224,0.691228954612381,0.622199062011464
"801",0.69926091353409,0.232613999629393,0.3,0.66,0.0123885062620054,0.0124042314005907,0.565204460966543,0.0060790273556231
"802",0.496104154037312,0.772889479761943,0.3,0.5945,0.145340824756175,0.107091345786862,0.693829471779665,0.52160953800298
"803",0.701070044888183,0.0613918420858681,0.3,0.652,-0.000941558888169765,-0.000820544942704116,0.499490081586946,NA
"804",0.771615317557007,0.150941739557311,0.3,0.6625,0.00317817019478072,0.00326330669286456,0.530281477065919,0.00301204819277108
"805",0.834412839496508,0.394349891459569,0.3,0.6875,0.0259960823377637,0.0304755447897458,0.612933613838242,0.0656716417910448
"806",0.741049104603007,0.271583201829344,0.3,0.671,0.0132849250693023,0.0148255998624348,0.574176437970501,0.0421052631578947
"807",0.325951277744025,0.910744182066992,0.3,0.5555,0.248312669766694,0.150440179613714,0.725271623956703,0.602395209580838
"808",0.069484144449234,0.21285601425916,0.3,0.5015,0.0833023586084083,0.00972728755236696,0.555669079723014,0.523882896764253
"809",0.688532267697155,0.701133472844958,0.3,0.6325,0.092504802127962,0.076809929633056,0.659923810014645,0.399280575539568
"810",0.200406218180433,0.128371683647856,0.3,0.5485,0.0294254087938849,0.00544324740783153,0.544669610788679,0.0636550308008214
"811",0.469548572786152,0.0879986046347767,0.3,0.615,0.00272240146515811,0.00115266784804835,0.539708524242189,NA
"812",0.0284050405025482,0.882835875730962,0.3,0.52,0.36043598559417,0.125870723722906,0.699514920594262,0.637373737373737
"813",0.808137948391959,0.378056462621316,0.3,0.682,0.0241679619438315,0.0250987408652569,0.605550502016648,0.135240572171651
"814",0.189586650347337,0.581065126694739,0.3,0.5395,0.200964924023319,0.0707500110990146,0.655999975901292,0.514888337468983
"815",0.563752339687198,0.214532696641982,0.3,0.639,0.0180338330330602,0.0116928779175834,0.567144665507365,0.0105124835742444
"816",0.823147611692548,0.22241328516975,0.3,0.694,0.00693569107875584,0.00704150531142034,0.547343967216098,NA
"817",0.923455506796017,0.412041963776574,0.3,0.71,0.0163483054947661,0.0210993182305627,0.595711365369947,0.00687285223367698
"818",0.996423506410792,0.793203955050558,0.3,0.7115,0.089700859432979,0.116073580102333,0.706528751753156,0.358511837655017
"819",0.75474147265777,0.966148101026192,0.3,0.6425,0.136608253305514,0.137770774534774,0.719208678304568,0.500421229991575
"820",0.848518260288984,0.847986581735313,0.3,0.678,0.137632314441783,0.136617373966169,0.722135884210307,0.36901121304791
"821",0.877367309760302,0.335106190294027,0.3,0.6995,0.02219003704019,0.0266608620019333,0.60458811286282,NA
"822",0.589503701077774,0.764563859906048,0.3,0.615,0.123159652938593,0.0931305119684889,0.679844407398587,0.453186467348545
"823",0.947256422834471,0.669009535573423,0.3,0.7185,0.0590108082141805,0.076603294028155,0.671132391080828,0.202462380300958
"824",0.0792023774702102,0.998227253789082,0.3,0.504,0.35065705186933,0.144380898507144,0.720321647385989,0.658688865764828
"825",0.961531192995608,0.696957772132009,0.3,0.6825,0.077635136071121,0.103126283964352,0.697164380911002,0.312727272727273
"826",0.603983343346044,0.287991079268977,0.3,0.6375,0.0239024832794563,0.0207190459587854,0.589914651871809,0.0842105263157895
"827",0.69207883044146,0.604532207595184,0.3,0.6685,0.0628490092721526,0.0549091964526621,0.643440218207901,0.279749478079332
"828",0.798881733091548,0.911076498217881,0.3,0.6445,0.138977309329621,0.142067480878508,0.721071428571429,0.475685234305924
"829",0.368336658459157,0.562288173707202,0.3,0.608,0.120511852567493,0.0692398508807077,0.649707523770153,0.443418013856813
